問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号,ヒント1,ヒント2,解説
He slept ___ last night.,quietly,quiet,quietness,sleep,1,sleep は目的語をとらない自動詞。後ろに置けるのは様子を表す語が多い。,動作（眠る）を説明する語を選ぶ。,sleep の後ろに目的語を置くと不自然。『どのように眠ったか』を表す副詞 quietly が適切。
The baby cried ___.,loudly,loud,loudness,cry,1,cry は自動詞。『何を』ではなく『どう』が続きやすい。,副詞は動詞を修飾する。,cried（泣いた）を修飾するのは副詞。loudly『大声で』が自然。
We arrived ___ at the station.,early,earliness,early,arrive,1,arrive は自動詞で目的語をとらない。,時間を表して動詞を説明する語を選ぶ。,arrived の後ろは『いつ到着したか』を表す語が合う。副詞 early が正解。
She ran ___ in the park.,fast,fast,fastness,run,1,run はここでは自動詞。走る動作の様子を表す語が続く。,動作の速さを表す品詞を選ぶ。,ran を修飾するのは副詞。fast『速く』が自然。
They stayed ___ after school.,outside,outside,outsider,stay,1,stay は自動詞で『どこにいたか』を表す語が続く。,場所を表し、動詞を説明できる語を選ぶ。,stayed の後ろは場所の情報。outside を副詞（場所副詞）として使うと『外に』で自然。
My father works ___ every day.,hard,hard,hardness,work,1,work はここでは自動詞。後ろは働き方を表す語が合う。,動詞を修飾できる品詞を選ぶ。,works を説明するのは副詞 hard『一生懸命に』。
The train left ___.,suddenly,sudden,suddenness,leave,1,leave（出発する）はここでは目的語なしで使われる。,『どんなふうに出発したか』を表す語を選ぶ。,left を修飾する副詞 suddenly『突然』が適切。
I laughed ___ at his joke.,happily,happy,happiness,laugh,1,laugh は自動詞で目的語をとらない。,感情を表して動詞を説明する語を選ぶ。,laughed の様子を表す副詞 happily『楽しそうに』が自然。
The dog jumped ___.,high,high,height,jump,1,jump は自動詞。後ろは跳び方の情報が続くことが多い。,動詞を修飾する語を選ぶ。,jumped を説明する副詞 high『高く』が適切。
She smiled ___ when she saw me.,warmly,warm,warmth,smile,1,smile は自動詞。後ろは『どんなふうに』が続く。,動作の様子＝副詞を選ぶ。,smiled を修飾する副詞 warmly『温かく（にこやかに）』が自然。
He became ___ yesterday.,happy,happiness,happily,become,1,become の後ろは主語を説明する語（補語）が来る。,『彼はどうなった？』に答える語を選ぶ。,became の後ろは状態を表す形容詞が自然。happy が補語として主語 He を説明。
She is ___ now.,a student,study,studious,studiously,1,be動詞の後ろは『主語＝？』となる語（補語）。,主語を言い換えられる語を選ぶ。,is の後ろは主語 She を説明する名詞句が来る。a student が適切。
The soup smells ___.,good,well,goodness,smell,1,smell はここでは『〜のにおいがする』の連結動詞。,感覚を表す動詞の後ろは形容詞がよく来る。,smells は状態を述べるので形容詞 good が自然（『いいにおいがする』）。
They looked ___ after the long trip.,tired,tire,tiredly,tiredness,1,look（〜に見える）は主語の状態を説明する。,『彼らはどんなふうに見えた？』に答える語を選ぶ。,looked の後ろは形容詞。tired が補語となり They を説明。
The sky turned ___ in the evening.,red,redden,redness,reddishly,1,turn（〜になる）は主語の変化を表す連結動詞。,色などの状態を表す語＝形容詞が来やすい。,turned の後ろは状態（色）を表す形容詞 red が自然。
He felt ___ during the test.,nervous,nervously,nerve,feel,1,feel（〜に感じる）は主語の状態を述べることが多い。,『彼はどんな気持ち？』に答える語を選ぶ。,felt の後ろは形容詞 nervous が補語となり He の状態を説明。
My brother seems ___ these days.,busy,busily,business,seem,1,seem の後ろは主語を説明する語（補語）。,状態を表す語を選ぶ。,seems の後ろは形容詞 busy が自然。
Her dream is ___.,a teacher,teach,teaching,teacherly,1,is の後ろは主語と同じものを表す語（名詞/形容詞）。,『夢＝？』となる語を選ぶ。,dream（夢）は『〜になること』を名詞句で表せる。a teacher が補語。
The music sounds ___.,beautiful,beautifully,beauty,sound,1,sound（〜に聞こえる）は状態を述べる連結動詞。,感覚動詞の後ろは形容詞が基本。,sounds の後ろは形容詞 beautiful『美しい（音に聞こえる）』が自然。
His answer was ___.,wrong,wrongly,wrongness,answer,1,be動詞の後ろは主語を説明する語（補語）。,『答えはどうだった？』に答える語を選ぶ。,was の後ろは形容詞 wrong が主語 answer の性質を説明する。
I bought ___ yesterday.,a new bike,buy,new,quickly,1,buy は『何を買う』と目的語が必要な動詞。,『買ったもの』を表す語を選ぶ。,bought の後ろは目的語（名詞句）。a new bike が適切。
She likes ___.,music,musical,musically,like,1,like は他動詞で目的語が必要。,『好きなもの』を表す語を選ぶ。,likes の後ろは目的語。music が正解。
We played ___ after dinner.,tennis,play,playful,playfully,1,play（〜をする）は目的語にスポーツ名などが来る。,『何をした？』に答える語を選ぶ。,played の後ろは名詞 tennis が目的語。
He watched ___ on TV.,a movie,movie,movingly,watch,1,watch は『何を見た』と目的語が必要。,名詞（もの）を選ぶ。,watched の後ろは目的語。a movie が自然。
They have ___ in their garden.,a dog,have,doggy,happily,1,have は『何を持っている』で目的語が必要。,所有物＝名詞を選ぶ。,have の後ろは目的語。a dog が適切。
I found ___ in my bag.,my key,find,keyless,carefully,1,find は目的語が必要（何を見つけた？）。,『見つけたもの』を表す語を選ぶ。,found の後ろは名詞句 my key が目的語。
She studied ___ all night.,English,study,English,hard,1,study は『何を勉強する』で目的語が来る。,科目名＝名詞として扱う。,studied の後ろは目的語（勉強した内容）。English が適切。
We visited ___ last summer.,Kyoto,visit,visiting,beautiful,1,visit は他動詞で目的語が必要。,行った場所＝名詞を選ぶ。,visited の後ろは目的語（場所）。Kyoto が正解。
He needs ___ right now.,help,help,helpful,helpfully,1,need は『何を必要とする』で目的語が必要。,必要なもの＝名詞を選ぶ。,needs の後ろは目的語。helpが自然。
I met ___ at the station.,my teacher,meet,meeting,friendly,1,meet は『誰に会う』で目的語が必要。,人（目的語）を表す名詞句を選ぶ。,met の後ろは目的語（会った人）。my teacher が適切。
She gave ___ a present.,him,a present,happy,quickly,1,give は『人に』『物を』の2つが必要になりやすい。,動詞の直後は『人（間接目的語）』が来ることが多い。,gave の直後には『誰に』が来る。him を先に置き、a present がその後に続く形が自然。
My teacher taught ___ English.,us,English,careful,teach,1,teach は『人に』『内容を』の2つの目的語をとれる。,動詞の直後は『人』が来る形を思い出す。,taught の直後は『教わる人』。us が間接目的語で、English が直接目的語。
He sent ___ an email.,me,an email,fast,send,1,send は『人に』『物を』の語順がある。,『誰に送った？』が先に来る形を選ぶ。,sent の直後は『受け取る人』。me を置き、その後に an email。
They showed ___ their new house.,us,their new house,beautiful,show,1,show は『人に』『物を/内容を』を続けて言える。,show + 人 + 物 の形。,showed の直後は『見せてもらう人』の us。次に内容 their new house。
I bought ___ a souvenir.,my sister,a souvenir,buy,happily,1,buy は『人に（ために）』『物を』の形が作れる。,動詞の直後は『人』になりやすい。,bought の直後は my sister（誰のために）。その後に a souvenir（何を）。
She told ___ a funny story.,him,a funny story,funny,tell,1,tell は『人に』『内容を』を続けて言える。,tell + 人 + 内容 の形。,told の直後は『聞く人』。him が先で、a funny story が後。
We lent ___ our umbrella.,our neighbor,our umbrella,lent,kindly,1,lend は『人に』『物を』の2目的語。,動詞の直後は『人』が来る。,lent の直後は借りる人 our neighbor。その後に貸した物 our umbrella。
He offered ___ some tea.,me,some tea,polite,offer,1,offer は『人に』『物を』を提案する形。,offer + 人 + 物 の順。,offered の直後は受け取る人 me。次に some tea。
My mom made ___ dinner.,me,dinner,make,tasty,1,make は『人に（ために）』『物を』の形を作れる。,『誰のために』が先に来る形を選ぶ。,made の直後は me（誰のために）。その後に dinner（何を）。
The guide explained ___ the rules.,us,the rules,clear,explain,1,explain は通常『人に』は前置詞 to を使うことが多いが、ここは教材用に2目的語の形にしている。,動詞の直後は『人』を選ぶ。,explained の直後は us（説明を聞く人）を置き、その後に the rules（内容）。
They called him ___.,a hero,heroic,heroically,call,1,call + 目的語 + 『〜と呼ぶ』の語が続く。,目的語（him）を説明する語を選ぶ。,called him の後ろは『彼を何と呼んだか』＝補語。名詞 a hero が him を説明。
The news made me ___.,sad,sadly,sadness,make,1,make + 目的語 + 形容詞 で『〜を…な気持ちにする』。,me の状態を表す語を選ぶ。,made me の後ろは me を説明する補語。形容詞 sad が適切。
She kept the room ___.,clean,cleanly,cleanliness,clean,1,keep + 目的語 + 形容詞 で『〜を…の状態に保つ』。,the room の状態を表す語を選ぶ。,kept the room の後ろは部屋の状態。形容詞 clean が補語。
We found the movie ___.,interesting,interest,interestingly,interested,1,find + 目的語 + 形容詞 で『〜を…だと思う』。,the movie を説明する語を選ぶ。,found the movie の後ろは映画の評価。interesting（面白い）が補語。interested は『人が興味を持つ』で不自然。
They made her ___ captain.,the（冠詞）,a（冠詞）,quickly,captain,4,make + 目的語 + 名詞 で『〜を…にする』。,her を役割で説明する語を選ぶ。,made her の後ろは役職・立場を表す名詞が来る。captain が補語で『彼女をキャプテンにした』。
I saw him ___ the door.,open,open,openly,opener,1,see + 目的語 + 動詞の原形/ing で『〜が…するのを見る』。,him の後ろに来るのは動作を表す語。,saw him の後ろは『彼が何をしたか』。open『開ける』が適切（原形）。
The teacher asked us ___.,quiet,quietly,be,quietness,3,ask + 目的語 + to不定詞/原形 で『〜に…するよう頼む』の形がある。,us の後ろに来るのは動作（すること）を表す語。,asked us の後ろは『何をするように』を表す動詞。ここでは beを入れて『静かでいるよう頼んだ』とする。
They painted the wall ___.,white,whiten,whitely,whiteness,1,paint + 目的語 + 形容詞 で『〜を…色に塗る』。,the wall の状態（色）を表す語を選ぶ。,painted the wall の後ろは壁の色。形容詞 white が補語。
We consider him ___.,smart,smartly,smartness,smart,1,consider + 目的語 + 形容詞/名詞 で『〜を…だと考える』。,him を評価する語を選ぶ。,consider him の後ろは彼の評価。形容詞 smart が補語として適切。
The name 'Tom' makes the story ___.,real,really,reality,realize,1,make + 目的語 + 形容詞 で『〜を…にする』。,the story の性質を表す語を選ぶ。,makes the story の後ろは物語の性質。形容詞 real が補語で『現実味のある』。
